,name
225,Quentin Beck (Earth-616)
226,Herbert Wyndham (Earth-616)
227,Julian Keller (Earth-616)
228,Jack Russell (Earth-616)
229,Celeste Cuckoo (Earth-616)
230,Valentina Allegra de Fontaine (Earth-616)
231,Ophelia Sarkissian (Earth-616)
232,Colleen Wing (Earth-616)
233,Irma Cuckoo (Earth-616)
234,Sebastian Shaw (Earth-616)
235,Phoebe Cuckoo (Earth-616)
236,Sage (Earth-616)
237,Valeria Richards (Earth-616)
238,Donald Blake (Earth-616)
239,Hela (Earth-616)
240,Lilandra Neramani (Earth-616)
241,Henry Gyrich (Earth-616)
242,Dwayne Taylor (Earth-616)
243,Harold Hogan (Earth-616)
244,Redwing (Earth-616)
245,Christopher Powell (Earth-616)
246,Harvey Elder (Earth-616)
247,Wolfgang von Strucker (Earth-616)
248,Dirk Garthwaite (Earth-616)
249,Pip Gofern (Earth-616)
250,Tony Masters (Earth-616)
251,David Lieberman (Earth-616)
252,James Hudson (Earth-616)
253,Miles Warren (Earth-616)
254,Kallark (Earth-616)
255,En Sabah Nur (Earth-616)
256,Shiro Yoshida (Earth-616)
257,Silver Sablinova (Earth-616)
258,Elvin Haliday (Earth-616)
259,James Bradley (Earth-616)
260,Calvin Zabo (Earth-616)
261,Frederick Myers (Earth-616)
262,Mantis (Earth-616)
263,Marlene Alraune (Earth-616)
264,Rachel Leighton (Earth-616)
265,Veranke (Earth-616)
266,Nathaniel Essex (Earth-616)
267,Anthony Druid (Earth-616)
268,Cassandra Lang (Earth-616)
269,Beta Ray Bill (Earth-616)
270,Samuel Sterns (Earth-616)
271,Leech (Earth-616)
272,Glenn Talbot (Earth-616)
273,Bug (Earth-616)
274,Peter Petruski (Earth-616)
275,Julie Power (Earth-616)
276,Giuletta Nefaria (Earth-616)
277,Robert Ralston (Earth-616)
278,Maximus (Earth-616)
279,Genis-Vell (Earth-616)
280,Hisako Ichiki (Earth-616)
281,Dmitri Smerdyakov (Earth-616)
282,Eliot Franklin (Thunderball) (Earth-616)
283,X-51 (Earth-616)
284,Madelyne Pryor (Earth-616)
285,Adolf Hitler (Earth-616)
286,Herman Schultz (Earth-616)
287,Noriko Ashida (Earth-616)
288,Chen Lu (Earth-616)
289,Ulysses Klaw (Earth-616)
290,Cessily Kincaid (Earth-616)
291,Kyle Gibney (Earth-616)
292,Jack Monroe (Earth-616)
293,Madeline Joyce (Earth-616)
294,George Tarleton (Earth-616)
295,Jocasta (Earth-616)
296,Peter Wisdom (Earth-616)
297,Jeffrey Mace (Earth-616)
298,Aquaria Neptunia (Earth-616)
299,Dragon Man (Earth-616)
300,Narya (Earth-616)
301,Burglar (Earth-616)
302,Dino Manelli (Earth-616)
303,Peter Parker (Kaine) (Earth-616)
304,Nightmare (Earth-616)
305,Ronan (Earth-616)
306,Thomas Halloway (Earth-616)
307,Jasper Sitwell (Earth-616)
308,Frank Payne (Earth-616)
309,Paladin (Earth-616)
310,Steel (Earth-616)
311,Mad Thinker (Earth-616)
312,Brian Calusky (Earth-616)
313,Arthur Maddicks (Earth-616)
314,Hedy Wolfe (Earth-616)
315,Isadore Cohen (Earth-616)
316,Dormammu (Earth-616)
317,Makkari (Earth-616)
318,Marlo Chandler (Earth-616)
319,Percival Pinkerton (Earth-616)
320,Quintavius Quire (Earth-616)
321,Marla Madison (Earth-616)
322,Cletus Kasady (Earth-616)
323,Supreme Intelligence (Earth-616)
324,Aragorn (Earth-616)
325,Betty Dean (Earth-616)
326,Karnilla (Earth-616)
327,Jacqueline Falsworth (Earth-616)
328,Caliban (Earth-616)
329,Isaac Christians (Earth-616)
330,Brock Rumlow (Earth-616)
331,Paul Norbert Ebersol (Earth-616)
332,Annihilus (Earth-616)
333,Red Sonja (Earth-616)
334,Jonathan Hart (Earth-616)
335,Bambina Arbogast (Earth-616)
336,Sooraya Qadir (Earth-616)
337,Zeus Panhellenios (Earth-616)
338,Randolph Robertson (Earth-616)
339,Yao (Earth-616)
340,Agatha Harkness (Earth-616)
341,Jack Tarr (Earth-616)
342,Katherine Bishop (Earth-616)
343,Jason Wyngarde (Earth-616)
344,Walter Newell (Earth-616)
345,Joanna Cargill (Earth-616)
346,Parker Robbins (Earth-616)
347,Rocket Raccoon (Earth-616)
348,Lyja (Earth-616)
349,Georges Batroc (Earth-616)
350,Wyatt Wingfoot (Earth-616)
351,Henry Camp (Earth-616)
352,Peter Quill (Earth-616)
353,Marrow (Sarah) (Earth-616)
354,Vision (Jonas) (Earth-616)
355,William Kaplan (Earth-616)
356,George Stacy (Earth-616)
357,Mari (Earth-616)
358,Todd Arliss (Earth-616)
359,Hammerhead (Joseph) (Earth-616)
360,Heinrich Zemo (Earth-616)
361,Emil Blonsky (Earth-616)
362,Arcturus Rann (Earth-616)
363,James Woo (Earth-616)
364,Frank Drake (Earth-616)
365,Callisto (Earth-616)
366,Dorma (Earth-616)
367,Lonnie Lincoln (Earth-616)
368,Doop (Earth-616)
369,David Alleyne (Earth-616)
370,Hepzibah (Earth-616)
371,Charlie Cluster-7 (Earth-616)
372,Samuel Sawyer (Earth-616)
373,Jacques Duquesne (Earth-616)
374,Arcade (Earth-616)
375,Mary Walker (Earth-616)
376,Miguel Santos (Earth-616)
377,Christopher Summers (Earth-616)
378,Morris Bench (Earth-616)
379,David Cannon (Earth-616)
380,Prosh (Earth-616)
381,Roderick Kingsley (Earth-616)
382,Dominikos Petrakis (Earth-616)
383,St. John Allerdyce (Earth-616)
384,Mary MacPherran (Earth-616)
385,Rita Wayword (Earth-616)
386,Angelo Espinosa (Earth-616)
387,Layla Miller (Earth-616)
388,Leland Owlsley (Earth-616)
389,Karl Lykos (Earth-616)
390,Jason Macendale Jr. (Earth-616)
391,Clay Harder (Earth-616)
392,Frigga (Earth-616)
393,Ikaris (Eternal) (Earth-616)
394,Jack Power (Earth-616)
395,Katherine Power (Earth-616)
396,Sharon Ventura (Earth-616)
397,Nico Minoru (Earth-616)
398,Clive Reston (Earth-616)
399,Idie Okonkwo (Earth-616)
400,Robert Frank (Earth-616)
401,Elizabeth Twoyoungmen (Earth-616)
402,Everett Thomas (Earth-616)
403,Danger (Earth-616)
404,Dorrek VIII (Earth-616)
405,Amadeus Cho (Earth-616)
406,Phillip Masters (Earth-616)
407,Joshua Foley (Earth-616)
408,Karl Mordo (Earth-616)
409,Eternity (Earth-616)
410,William Foster (Earth-616)
411,Leiko Wu (Earth-616)
412,Chase Stein (Earth-616)
413,Howard Hanover (Earth-616)
414,Louise Grant (Earth-616)
415,Grand Vizier (Asgard) (Earth-616)
416,Pyreus Kril (Earth-616)
417,Acroyear (Earth-616)
418,Yuriko Oyama (Earth-616)
419,Elijah Bradley (Earth-616)
420,Frankie Raye (Earth-616)
421,Jimaine Szardos (Earth-616)
422,Bethany Cabe (Earth-616)
423,Phillip Urich (Earth-616)
424,Delroy Garrett Jr. (Earth-616)
425,Anya Corazon (Earth-616)
426,Victoria Hand (Earth-616)
427,Margaret Carter (Earth-616)
428,Clay Quartermain (Earth-616)
429,Ghost (Earth-616)
430,Jill Stacy (Earth-616)
431,Abigail Brand (Earth-616)
432,Carlie Cooper (Earth-616)
433,Paul Duval (Earth-616)
434,Blastaar (Earth-616)
435,Jericho Drumm (Earth-616)
436,Ruth Aldine (Earth-616)
437,Azura (Earth-616)
438,Cyclone (Horse) (Earth-616)
439,Matthew Masters (Earth-616)
440,Luna Maximoff (Earth-616)
441,Silhouette Chord (Earth-616)
442,Attuma (Earth-616)
443,Sally Blevins (Earth-616)
444,James Sanders (Earth-616)
445,Denis Nayland Smith (Earth-616)
446,Andreas von Strucker (Earth-616)
447,Patricia Tilby (Earth-616)
448,Michael Collins (Earth-616)
449,Groot (Earth-616)
450,Vashti Cleito-Son (Earth-616)
451,Eric Williams (Earth-616)
452,Gaea (Earth-616)
453,Raza Longknife (Earth-616)
454,Rom (Earth-616)
455,Selene Gallio (Earth-616)
456,Norman Harold Osborn (Earth-616)
457,Michiko Musashi (Earth-616)
458,Skaar (Earth-616)
459,Ulik (Earth-616)
460,Roxanne Simpson (Earth-616)
461,Sinthea Shmidt (Earth-616)
462,George Washington Bridge (Earth-616)
463,Molly Hayes (Earth-616)
464,Klaus Voorhees (Earth-616)
465,Vanisher (Earth-616)
466,Skurge (Earth-616)
467,Arthur Parks (Earth-616)
468,Bernadette Rosenthal (Earth-616)
469,Nathan Lubensky (Earth-616)
470,David Haller (Earth-616)
471,Lemar Hoskins (Earth-616)
472,Donald Pierce (Earth-616)
473,Joseph Chapman (Earth-616)
474,Karolina Dean (Earth-616)
475,Bastion (Earth-616)
476,Kull (Earth-616)
477,Satana Hellstrom (Earth-616)
478,Laynia Petrovna (Earth-616)
479,Night Raven (Vigilante) (Earth-616)
480,Kavita Rao (Earth-616)
481,Danielle Cage (Earth-616)
482,Frederick Foswell (Earth-616)
483,John Greycrow (Earth-616)
484,Michael Duffy (Earth-616)
485,Eric Koenig (Earth-616)
486,Zheng Zu (Earth-616)
487,Keniuchio Harada (Earth-616)
488,Irene Adler (Earth-616)
489,Marrina Smallwood (Earth-616)
490,Fred Davis Jr. (Earth-616)
491,Zelda DuBois (Earth-616)
492,Beyonder (Earth-616)
493,Roxanne Washington (Earth-616)
494,Bonita Juarez (Earth-616)
495,Surtur (Earth-616)
496,Stranger (Cosmic Being) (Earth-616)
497,Brandy Clark (Earth-616)
498,Lillian Crawley (Earth-616)
499,Ichabod (Earth-616)
500,Russell Collins (Earth-616)
501,Michael Badilino (Earth-616)
502,Helen Takahama (Earth-616)
503,En Sabah Nur (Evan Sabahnur) (Earth-616)
504,Dai Thomas (Earth-616)
505,Maria Callasantos (Earth-616)
506,Sally Avril (Earth-616)
507,Ebenezer Laughton (Earth-616)
508,Pluto (Olympian) (Earth-616)
509,Arnim Zola (Earth-616)
510,Mariko Yashida (Earth-616)
511,Dallas Riordan (Earth-616)
512,Hannibal King (Earth-616)
513,Thomas Cassidy (Earth-616)
514,Kara Killgrave (Earth-616)
515,Jess\u00e1n Hoan (Earth-616)
516,Daisy Johnson (Earth-616)
517,John Horton (Earth-616)
518,Cecilia Reyes (Earth-616)
519,Barnell Bohusk (Earth-616)
520,Victor Mancha (Earth-616)
521,Awesome Android (Earth-616)
522,Samuel Smithers (Earth-616)
523,Wilbur Day (Earth-616)
524,Silvio Manfredi (Earth-616)
525,Richard Fisk (Earth-616)
526,Edward Whelan (Earth-616)
527,Donald Gill (Earth-616)
528,Alani Ryan (Earth-616)
529,Aarkus (Earth-616)
530,Aloysius Kare (Earth-616)
531,Ringo Kid (Earth-616)
532,Maynard Tiboldt (Earth-616)
533,Esteban Coraz\u00f3n de Ablo (Earth-616)
534,Marvin Flumm (Earth-616)
535,Nathaniel Richards (Earth-616)
536,Kathryn Cushing (Earth-616)
537,Cameron Hodge (Earth-616)
538,Alistaire Stuart (Earth-616)
539,Stacy Dolan (Earth-616)
540,Sleepwalker (Earth-616)
541,Ben Hamill (Earth-616)
542,Ivan Kragoff (Earth-616)
543,Marco Scarlotti (Earth-616)
544,Jennifer Takeda (Earth-616)
545,Broo (Earth-616)
546,Robert Grayson (Earth-616)
547,Boris Bullski (Earth-616)
548,Maximillian Coleridge (Earth-616)
549,Oracle (Sybil) (Earth-616)
550,Hope Abbott (Earth-616)
551,"Nicholas Fury, Jr. (Earth-616)"
552,Fin Fang Foom (Earth-616)
553,Shalla-Bal (Earth-616)
554,Samuel Saxon (Earth-616)
555,Jean DeWolff (Earth-616)
556,Blanche Sitznski (Earth-616)
557,Tanya Sealy (Earth-616)
558,Joy Mercado (Earth-616)
559,Bennet du Paris (Earth-616)
560,Martha Franklin (Earth-616)
561,Bentley Wittman (Clone) (Earth-616)
562,Rachel van Helsing (Earth-616)
563,Jerome Beechman (Earth-616)
564,Tyros (Earth-616)
565,Yukio (Earth-616)
566,Lila Cheney (Earth-616)
567,Thomas Fireheart (Earth-616)
568,Everett Ross (Earth-616)
569,Criti Noll (Clone) (Earth-616)
570,Kenneth Hale (Earth-616)
571,Korg (Earth-616)
572,Mark Raxton (Earth-616)
573,Calvin Rankin (Earth-616)
574,Basil Sandhurst (Earth-616)
575,Hobie Brown (Earth-616)
576,Topaz (Earth-616)
577,Shadow King (Earth-616)
578,William Cross (Earth-616)
579,Lance Bannon (Earth-616)
580,Rita DeMara (Earth-616)
581,Tong (Moloid) (Earth-616)
582,Romulus Augustulus (Earth-616)
583,Super-Adaptoid (Earth-616)
584,John Proudstar (Earth-616)
585,Christoph Nord (Earth-616)
586,Maya Lopez (Earth-616)
587,Old Lace (Earth-616)
588,Humberto Lopez (Earth-616)
589,Morgan le Fay (Earth-616)
590,Luchino Nefaria (Earth-616)
591,Jennifer Kale (Earth-616)
592,Douglas Scott (Earth-616)
593,Ashley Kafka (Earth-616)
594,Robert Herman (Earth-616)
595,Shuri (Earth-616)
596,Justin Hammer (Earth-616)
597,Michael Steel (Earth-616)
598,Kristoff Vernard (Earth-616)
599,Gateway (Earth-616)
600,Lily Hollister (Earth-616)
601,Tyr Odinson (Earth-616)
602,Krang (Earth-616)
603,Zebediah Killgrave (Earth-616)
604,En Dwi Gast (Earth-616)
605,Arthur Stacy (Earth-616)
606,David Griffith (Earth-616)
607,Franklin Hall (Earth-616)
608,Microtron (Earth-616)
609,Sara Wolfe (Earth-616)
610,Simon Utrecht (Earth-616)
611,Vertigo (Savage Land Mutate) (Earth-616)
612,Armando Mu\u00f1oz (Earth-616)
613,Jeanne Foucault (Earth-616)
614,Bruno Horgan (Earth-616)
615,Owen Reece (Earth-616)
616,Phineas Mason (Earth-616)
617,Man-Beast (Earth-616)
618,Candace Southern (Earth-616)
619,Heather Glenn (Earth-616)
620,Rintrah (Earth-616)
621,Kevin Masterson (Earth-616)
622,Arkady Rossovich (Earth-616)
623,Karima Shapandar (Earth-616)
624,Norah Winters (Earth-616)
625,Brandon Sharpe (Earth-616)
626,Plan Chu (Earth-616)
627,William Connors (Earth-616)
628,Modred (Earth-616)
629,James Darnell (Earth-616)
630,Carnage (Symbiote) (Earth-616)
631,Venus (Siren) (Earth-616)
632,Lance Temple (Outlaw Kid) (Earth-616)
633,Impossible Man (Earth-616)
634,Robert Hunter (Earth-616)
635,Onslaught (Psychic Entity) (Earth-616)
636,Irene Merryweather (Earth-616)
637,E.V.A. (Earth-616)
638,Mik (Moloid) (Earth-616)
639,Kro (Earth-616)
640,Toni Turner (Earth-616)
641,Melvin Potter (Earth-616)
642,Billy Russo (Earth-616)
643,Anath-Na Mut (Earth-616)
644,Gilgamesh (Earth-616)
645,Rebecca Blake (Earth-616)
646,Biotron (Earth-616)
647,Ruth Bat-Seraph (Earth-616)
648,Sofia Mantega (Earth-616)
649,Nezhno Abidemi (Earth-616)
650,Thomas Shepherd (Earth-616)
651,Ken Mack (Earth-616)
652,Turg (Moloid) (Earth-616)
653,Ivan Petrovitch (Earth-616)
654,Robert Diamond (Earth-616)
655,Debra Whitman (Earth-616)
656,Cassandra Webb (Earth-616)
657,Claudette and Nicole St. Croix (Earth-616)
658,Greg Willis (Earth-616)
659,Korr (Moloid) (Earth-616)
660,Daniel Brito (Earth-616)
661,Jackson Brice (Earth-616)
662,Quincy Harker (Earth-616)
663,Duvid Fortunov (Earth-616)
664,Philippa Sontag (Earth-616)
665,Laurie Tromette (Earth-616)
666,Max Modell (Earth-616)
667,Arthur Pendragon (Earth-616)
668,Hera Argeia (Earth-616)
669,Johann Fennhoff (Earth-616)
670,Mesmero (Vincent) (Earth-616)
671,Martha Robertson (Earth-616)
672,James Braddock Jr. (Earth-616)
673,Ayesha (Earth-616)
674,Nebula (Earth-616)
675,Blackout (Lilin) (Earth-616)
676,Garrison Kane (Earth-616)
677,Phyla-Vell (Earth-616)
678,Vil (Earth-616)
679,Eliot Franklin (Clown) (Earth-616)
680,Psycho-Man (Earth-616)
681,Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616)
682,Cleo Nefertiti (Earth-616)
683,Fen (Earth-616)
684,Martha Connors (Earth-616)
685,Stan Lee (Earth-616)
686,Athena Parthenos (Earth-616)
687,Hector Ayala (Earth-616)
688,Blake Tower (Earth-616)
689,Dimitri Bukharin (Earth-616)
690,Captain Universe (Earth-616)
691,Mister Negative (Earth-616)
692,William Lumpkin (Earth-616)
693,Ego (Earth-616)
694,Bova Ayrshire (Earth-616)
695,Seth (Earth-616)
696,Brian Falsworth (Earth-616)
697,Nikolai Krylenko (Earth-616)
698,Valinor (Earth-616)
699,Ann Darnell (Earth-616)
700,Alexander Pierce (Earth-616)
701,Kayla Ballantine (Earth-616)
702,Vanessa Carlysle (Earth-616)
703,Donyell Taylor (Earth-616)
704,Ken Ellis (Earth-616)
705,Teon Macik (Earth-616)
706,Wu (Earth-616)
707,Eva Bell (Earth-616)
708,Zuras (Earth-616)
709,Kevin Marlow (Earth-616)
710,Steven Rogers (William Burnside) (Earth-616)
711,Space Phantom (Earth-616)
712,Tana Nile (Earth-616)
713,Turk Barrett (Earth-616)
714,Xandarian Worldmind (Earth-616)
715,Argon (Microverse) (Earth-616)
716,Fabian Stankowicz (Earth-616)
717,Masque (Morlock) (Earth-616)
718,Manuel de la Rocha (Earth-616)
719,Kodiak Noatak (Earth-616)
720,Graydon Creed (Earth-616)
721,Max Eisenhardt (Joseph) (Earth-616)
722,Seward Trainer (Earth-616)
723,Tex Dawson (Earth-616)
724,Gunther Bain (Earth-616)
725,Jeryn Hogarth (Earth-616)
726,Robert Farrell (Earth-616)
727,Maximillian Zaran (Earth-616)
728,Chons (Earth-616)
729,Mikhail Ursus (Earth-616)
730,Joshua Guthrie (Earth-616)
731,Antonio Rodriguez (Earth-616)
732,Jack Hammer (Earth-616)
733,Neal Shaara (Earth-616)
734,"John Jonah Jameson, Sr. (Earth-616)"
735,Terry Vance (Earth-616)
736,Aphrodite Ourania (Earth-616)
737,M-11 (Earth-616)
738,Sir Percy of Scandia (Earth-616)
739,Deborah Harris (Earth-616)
740,Llyra Morris (Earth-616)
741,Robert Kelly (Earth-616)
742,Susan Austin (Earth-616)
743,Amelia Voght (Earth-616)
744,Marshall Stone III (Earth-616)
745,Alexei Kravinoff (Earth-616)
746,Guy Smith (Earth-616)
747,Tike Alicar (Earth-616)
748,Eden Fesi (Earth-616)
749,Raymond Dawson (Earth-616)
750,Henry Tinkelbaum (Earth-616)
751,Cookie Novak (Earth-616)
752,Hank Kelly (Earth-616)
753,Robert Rider (Earth-616)
754,Tania Belinskaya (Earth-616)
755,William Nasland (Earth-616)
756,Roger Bochs (Earth-616)
757,Marcus Stone (Earth-616)
758,Deidre Wentworth (Earth-616)
759,Fabian Cortez (Earth-616)
760,Sharra Neramani (Earth-616)
761,Rumiko Fujikawa (Earth-616)
762,Gabriel Cohuelo (Earth-616)
763,Phillip Coulson (Earth-616)
764,Christopher Muse (Earth-616)
765,Doctor Watson (Earth-616)
766,Abraham Erskine (Earth-616)
767,Umar (Earth-616)
768,Satannish (Earth-616)
769,Sha Shan (Earth-616)
770,Blood Brothers (Earth-616)
771,Nekra Sinclair (Earth-616)
772,Abraham Brown (Earth-616)
773,Mamie Muggins (Earth-616)
774,In-Betweener (Earth-616)
775,Eric Payne (Earth-616)
776,Mentor (Imperial Guard) (Earth-616)
777,Starbolt (Earth-616)
778,Manta (Earth-616)
779,Lorelei (Asgardian) (Earth-616)
780,Grace Powell (Earth-616)
781,Rick Sheridan (Earth-616)
782,Frances Barrison (Earth-616)
783,Shirley Washington (Earth-616)
784,Tsu-Zana (Earth-616)
785,Richard Gilmore (Earth-616)
786,Tarene (Earth-616)
787,Melati Kusuma (Earth-616)
788,Jonas Graymalkin (Earth-616)
789,Thakorr (Earth-616)
790,Ulysses Bloodstone (Earth-616)
791,Jack Pulver (Earth-616)
792,Maxwell Markham (Earth-616)
793,Baron Karza (Earth-616)
794,Lindsay McCabe (Earth-616)
795,Colin Hume (Earth-616)
796,Jason Powell (Earth-616)
797,Martha Johansson (Earth-616)
798,Regan Wyngarde (Earth-616)
799,Michael Pointer (Earth-616)
800,Jerry Sledge (Earth-616)
801,John Grey (Earth-616)
