,name,ID,HAIR
52,Remy LeBeau (Earth-616),Secret Identity,Brown Hair
53,Daniel Rand (Earth-616),Secret Identity,Blond Hair
54,Nathan Summers (Earth-616),Public Identity,White Hair
55,Elizabeth Brant (Earth-616),No Dual Identity,Brown Hair
56,Richard Jones (Earth-616),Secret Identity,Brown Hair
57,Edwin Jarvis (Earth-616),No Dual Identity,White Hair
58,Alexander Summers (Earth-616),Public Identity,Blond Hair
59,Patricia Walker (Earth-616),Secret Identity,Red Hair
60,Human Torch (Android) (Earth-616),Public Identity,Blond Hair
61,Loki Laufeyson (Earth-616),No Dual Identity,Black Hair
62,Franklin Nelson (Earth-616),No Dual Identity,Bald
63,Brian Braddock (Earth-616),Public Identity,Blond Hair
64,Otto Octavius (Earth-616),Secret Identity,Brown Hair
65,James Rhodes (Earth-616),Secret Identity,Brown Hair
66,Timothy Dugan (Earth-616),Public Identity,Red Hair
67,Crystalia Amaquelin (Earth-616),Public Identity,Strawberry Blond Hair
68,Samuel Wilson (Earth-616),Public Identity,Black Hair
69,Wilson Fisk (Earth-616),Public Identity,Bald
70,Odin Borson (Earth-616),Public Identity,White Hair
71,Deadpool (Wade Wilson),Secret Identity,Bald
72,Dane Whitman (Earth-616),Secret Identity,Brown Hair
73,Harold Osborn (Earth-616),No Dual Identity,Brown Hair
74,Franklin Richards (Earth-616),No Dual Identity,Blond Hair
75,Jessica Drew (Earth-616),Secret Identity,Auburn Hair
76,Roberto da Costa (Earth-616),Secret Identity,Black Hair
77,Rahne Sinclair (Earth-616),Secret Identity,Red Hair
78,Elizabeth Ross (Earth-616),Public Identity,Black Hair
79,Lorna Dane (Earth-616),Secret Identity,Green Hair
80,Blaine Colt (Earth-616),Public Identity,Blond Hair
81,Johnathon Blaze (Earth-616),Secret Identity,Reddish Blond Hair
82,Sif (Earth-616),No Dual Identity,Black Hair
83,Red Hulk (Thaddeus Ross),Public Identity,Black Hair
84,Jubilation Lee (Earth-616),Secret Identity,Black Hair
85,Volstagg (Earth-616),Public Identity,Red Hair
86,Balder Odinson (Earth-616),Secret Identity,Brown Hair
87,Galactus (Earth-616),Secret Identity,No Hair
88,Danielle Moonstar (Earth-616),Secret Identity,Black Hair
89,Marc Spector (Earth-616),Secret Identity,Brown Hair
90,Gwendolyne Stacy (Earth-616),No Dual Identity,Blond Hair
91,Medusalith Amaquelin (Earth-616),Public Identity,Red Hair
92,Sabretooth (Victor Creed),Secret Identity,Blond Hair
93,Illyana Rasputina (Earth-616),Secret Identity,Blond Hair
94,Johann Shmidt (Earth-616),Public Identity,Blond Hair
95,Fandral (Earth-616),Secret Identity,Blond Hair
96,Sean Cassidy (Earth-616),Secret Identity,Strawberry Blond Hair
97,Thomas Raymond (Earth-616),Secret Identity,Black Hair
98,Uatu (Earth-616),Public Identity,Bald
99,Richard Rider (Earth-616),Public Identity,Brown Hair
100,Hogun (Earth-616),Public Identity,Black Hair
101,Raven Darkholme (Earth-616),Secret Identity,Red Hair
102,Barbara Morse (Earth-616),Secret Identity,Blond Hair
103,Blackagar Boltagon (Earth-616),No Dual Identity,Black Hair
104,Brunnhilde (Earth-616),Secret Identity,Blond Hair
105,Alison Blaire (Earth-616),Public Identity,Strawberry Blond Hair
106,Venom (Symbiote) (Earth-616),Known to Authorities Identity,No Hair
107,John Walker (Earth-616),Secret Identity,Blond Hair
108,Greer Grant (Earth-616),Public Identity,Black Hair
109,Karla Sofen (Earth-616),Public Identity,Blond Hair
110,William Baker (Earth-616),Secret Identity,Brown Hair
111,Sharon Carter (Earth-616),Public Identity,Blond Hair
112,Felicia Hardy (Earth-616),Public Identity,Blond Hair
113,Cain Marko (Earth-616),Public Identity,Red Hair
114,Monica Rambeau (Earth-616),Secret Identity,Black Hair
115,Maria Hill (Earth-616),No Dual Identity,Black Hair
116,Ben Urich (Earth-616),No Dual Identity,Brown Hair
117,Heather Douglas (Earth-616),Secret Identity,Bald
118,Millicent Collins (Earth-616),Public Identity,Blond Hair
119,James Proudstar (Earth-616),Secret Identity,Black Hair
120,Angelica Jones (Earth-616),Known to Authorities Identity,Red Hair
121,Edward Brock (Earth-616),Public Identity,Blond Hair
122,MacDonald Gargan (Earth-616),Secret Identity,Bald
123,Mephisto (Earth-616),No Dual Identity,Black Hair
124,Tabitha Smith (Earth-616),Secret Identity,Blond Hair
125,Jean-Paul Beaubier (Earth-616),Secret Identity,Black Hair
126,Daniel Ketch (Earth-616),Secret Identity,Brown Hair
127,Neena Thurman (Earth-616),Secret Identity,Black Hair
128,Wong (Earth-616),No Dual Identity,Bald
129,Thanos (Earth-616),No Dual Identity,No Hair
130,Shang-Chi (Earth-616),No Dual Identity,Black Hair
131,Alicia Masters (Earth-616),No Dual Identity,Strawberry Blond Hair
132,Robert Baldwin (Earth-616),Secret Identity,Blond Hair
133,Vance Astrovik (Earth-616),Public Identity,Brown Hair
134,Wendell Vaughn (Earth-616),Secret Identity,Blond Hair
135,Chili Storm (Earth-616),Public Identity,Red Hair
136,Abner Jenkins (Earth-616),Public Identity,Brown Hair
137,Elektra Natchios (Earth-616),Secret Identity,Black Hair
138,Bullseye (Lester) (Earth-616),Secret Identity,Blond Hair
139,Forge (Earth-616),Public Identity,Black Hair
140,Virginia Potts (Earth-616),No Dual Identity,Red Hair
141,Walter Langkowski (Earth-616),Secret Identity,Blond Hair
142,Gorgon (Earth-616),Secret Identity,Brown Hair
143,James Madrox (Earth-616),Public Identity,Brown Hair
144,Heimdall (Earth-616),Secret Identity,Brown Hair
145,Theresa Cassidy (Earth-616),Secret Identity,Red Hair
146,Laura Kinney (Earth-616),Secret Identity,Black Hair
147,Arthur Douglas (Earth-616),Secret Identity,Brown Hair
148,Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Blond Hair
149,Warlock (Technarch) (Earth-616),Secret Identity,No Hair
150,Kevin Plunder (Earth-616),Public Identity,Blond Hair
151,Leonard Samson (Earth-616),Public Identity,Green Hair
152,Melissa Gold (Earth-616),Secret Identity,Blond Hair
153,Lockheed (Earth-616),Secret Identity,No Hair
154,Mercedes Knight (Earth-616),Public Identity,Black Hair
155,Moira Kinross (Earth-616),No Dual Identity,Brown Hair
156,Karnak (Earth-616),Secret Identity,Black Hair
157,Namorita Prentiss (Earth-616),Public Identity,Blond Hair
158,Lockjaw (Earth-616),Secret Identity,Brown Hair
159,Adam Warlock (Earth-616),No Dual Identity,Gold Hair
160,Heather McNeil (Earth-616),Public Identity,Red Hair
161,Curtis Connors (Earth-616),Public Identity,No Hair
162,Theodore Sallis (Earth-616),Secret Identity,No Hair
163,Adrian Toomes (Earth-616),Public Identity,Bald
164,Amora (Earth-616),Public Identity,Blond Hair
165,Clea (Earth-616),No Dual Identity,White Hair
166,Mar-Vell (Earth-616),Public Identity,Blond Hair
167,Eugene Judd (Earth-616),Public Identity,Bald
168,Daimon Hellstrom (Earth-616),No Dual Identity,Red Hair
169,John Jonah Jameson III (Earth-616),No Dual Identity,Auburn Hair
170,Triton (Earth-616),No Dual Identity,No Hair
171,Meggan Puceanu (Earth-616),Secret Identity,
172,Robert Reynolds (Earth-616),Secret Identity,Blond Hair
173,Aleksei Sytsevich (Earth-616),Secret Identity,Brown Hair
174,Santo Vaccarro (Earth-616),Secret Identity,No Hair
175,Jonathan Clay (Earth-616),Secret Identity,Red Hair
176,Ares (Earth-616),Secret Identity,Brown Hair
177,Sersi (Earth-616),Secret Identity,Black Hair
178,Guido Carosella (Earth-616),Secret Identity,Bald
179,Zabu (Earth-616),Public Identity,Orange Hair
180,Michael Morbius (Earth-616),Secret Identity,Black Hair
181,Julio Richter (Earth-616),Secret Identity,Brown Hair
182,Phoenix Force (Earth-616),Secret Identity,No Hair
183,Megan Gwynn (Earth-616),Public Identity,Pink Hair
184,Kyle Richmond (Earth-616),Secret Identity,Auburn Hair
185,Karen Page (Earth-616),No Dual Identity,Blond Hair
186,Tyrone Johnson (Earth-616),Secret Identity,Black Hair
187,Maxwell Dillon (Earth-616),Public Identity,Auburn Hair
188,Valerie Cooper (Earth-616),Public Identity,Blond Hair
189,Anna May (Earth-616),No Dual Identity,White Hair
190,Vlad Dracula (Earth-616),No Dual Identity,White Hair
191,Tandy Bowen (Earth-616),Secret Identity,Blond Hair
192,Monet St. Croix (Earth-616),No Dual Identity,Black Hair
193,Gamora (Earth-616),No Dual Identity,Black Hair
194,Amara Aquilla (Earth-616),Secret Identity,Blond Hair
195,Julia Carpenter (Earth-616),Secret Identity,Strawberry Blond Hair
196,Jane Foster (Earth-616),No Dual Identity,Brown Hair
197,Mortimer Toynbee (Earth-616),Secret Identity,Brown Hair
198,Scott Lang (Earth-616),Public Identity,Strawberry Blond Hair
199,Paige Guthrie (Earth-616),Secret Identity,Blond Hair
200,Benjamin Parker (Earth-616),No Dual Identity,Brown Hair
201,Erik Josten (Earth-616),Secret Identity,Red Hair
202,Jeanne-Marie Beaubier (Earth-616),Secret Identity,Black Hair
203,Carl Creel (Earth-616),Public Identity,Bald
204,Gloria Grant (Earth-616),No Dual Identity,Black Hair
205,Michael Twoyoungmen (Earth-616),Public Identity,Black Hair
206,Hope Summers (Earth-616),Secret Identity,Red Hair
207,Eric Masterson (Earth-616),Secret Identity,Blond Hair
208,Alexander Power (Earth-616),Secret Identity,Blond Hair
209,Matthew Hawk (Earth-616),Secret Identity,Brown Hair
210,Jessica Jones (Earth-616),No Dual Identity,Brown Hair
211,Frederick Dukes (Earth-616),Public Identity,Brown Hair
212,Eric Brooks (Earth-616),Public Identity,Black Hair
213,Eros (Earth-616),Public Identity,Red Hair
214,Madison Jeffries (Earth-616),No Dual Identity,Black Hair
215,Mandarin (Earth-616),Secret Identity,Black Hair
216,The Wizard (Earth-616),Public Identity,Brown Hair
217,Akihiro (Earth-616),Secret Identity,Black Hair
218,Sergei Kravinoff (Earth-616),Public Identity,Black Hair
219,Jonothon Starsmore (Earth-616),Secret Identity,Brown Hair
220,Helmut Zemo (Earth-616),Public Identity,Blond Hair
221,Victor Borkowski (Earth-616),Secret Identity,Black Hair
222,Edward Leeds (Earth-616),Secret Identity,Brown Hair
223,Ultron (Earth-616),No Dual Identity,No Hair
224,Douglas Ramsey (Earth-616),Secret Identity,Blond Hair
225,Quentin Beck (Earth-616),Secret Identity,Bald
226,Herbert Wyndham (Earth-616),Secret Identity,Brown Hair
227,Julian Keller (Earth-616),Public Identity,Black Hair
228,Jack Russell (Earth-616),Secret Identity,Red Hair
229,Celeste Cuckoo (Earth-616),Secret Identity,Blond Hair
230,Valentina Allegra de Fontaine (Earth-616),Secret Identity,Black Hair
231,Ophelia Sarkissian (Earth-616),Secret Identity,Black Hair
232,Colleen Wing (Earth-616),Public Identity,Auburn Hair
233,Irma Cuckoo (Earth-616),Secret Identity,Black Hair
234,Sebastian Shaw (Earth-616),No Dual Identity,Black Hair
235,Phoebe Cuckoo (Earth-616),Secret Identity,Blond Hair
236,Sage (Earth-616),Secret Identity,Black Hair
237,Valeria Richards (Earth-616),No Dual Identity,Blond Hair
238,Donald Blake (Earth-616),No Dual Identity,Blond Hair
239,Hela (Earth-616),Secret Identity,Black Hair
240,Lilandra Neramani (Earth-616),No Dual Identity,Black Hair
241,Henry Gyrich (Earth-616),No Dual Identity,Red Hair
242,Dwayne Taylor (Earth-616),Secret Identity,Black Hair
243,Harold Hogan (Earth-616),No Dual Identity,Brown Hair
244,Redwing (Earth-616),Public Identity,
245,Christopher Powell (Earth-616),Secret Identity,Brown Hair
246,Harvey Elder (Earth-616),Secret Identity,Grey Hair
247,Wolfgang von Strucker (Earth-616),Public Identity,Bald
248,Dirk Garthwaite (Earth-616),Secret Identity,Brown Hair
249,Pip Gofern (Earth-616),Secret Identity,Red Hair
250,Tony Masters (Earth-616),Secret Identity,Brown Hair
251,David Lieberman (Earth-616),Secret Identity,Brown Hair
252,James Hudson (Earth-616),Secret Identity,Black Hair
253,Miles Warren (Earth-616),Secret Identity,No Hair
254,Kallark (Earth-616),Public Identity,Blue Hair
255,En Sabah Nur (Earth-616),Public Identity,Black Hair
256,Shiro Yoshida (Earth-616),Public Identity,Black Hair
257,Silver Sablinova (Earth-616),Secret Identity,Silver Hair
258,Elvin Haliday (Earth-616),Secret Identity,Bald
259,James Bradley (Earth-616),Secret Identity,Black Hair
260,Calvin Zabo (Earth-616),Secret Identity,Brown Hair
261,Frederick Myers (Earth-616),Secret Identity,Brown Hair
262,Mantis (Earth-616),Secret Identity,Black Hair
263,Marlene Alraune (Earth-616),No Dual Identity,Blond Hair
264,Rachel Leighton (Earth-616),Secret Identity,Brown Hair
265,Veranke (Earth-616),No Dual Identity,Green Hair
266,Nathaniel Essex (Earth-616),Secret Identity,Black Hair
267,Anthony Druid (Earth-616),Public Identity,Black Hair
268,Cassandra Lang (Earth-616),Public Identity,Blond Hair
269,Beta Ray Bill (Earth-616),No Dual Identity,No Hair
270,Samuel Sterns (Earth-616),Public Identity,Black Hair
271,Leech (Earth-616),Secret Identity,No Hair
272,Glenn Talbot (Earth-616),No Dual Identity,Brown Hair
273,Bug (Earth-616),Public Identity,Green Hair
274,Peter Petruski (Earth-616),Secret Identity,Bald
275,Julie Power (Earth-616),Secret Identity,Strawberry Blond Hair
276,Giuletta Nefaria (Earth-616),Secret Identity,Black Hair
277,Robert Ralston (Earth-616),No Dual Identity,Blond Hair
278,Maximus (Earth-616),Secret Identity,Black Hair
279,Genis-Vell (Earth-616),Public Identity,Blond Hair
280,Hisako Ichiki (Earth-616),Secret Identity,Black Hair
281,Dmitri Smerdyakov (Earth-616),Secret Identity,Variable Hair
282,Eliot Franklin (Thunderball) (Earth-616),Public Identity,Black Hair
283,X-51 (Earth-616),Known to Authorities Identity,Black Hair
284,Madelyne Pryor (Earth-616),Public Identity,Red Hair
285,Adolf Hitler (Earth-616),No Dual Identity,Brown Hair
286,Herman Schultz (Earth-616),Public Identity,Brown Hair
287,Noriko Ashida (Earth-616),Secret Identity,Black Hair
288,Chen Lu (Earth-616),Secret Identity,Bald
289,Ulysses Klaw (Earth-616),Public Identity,Bald
290,Cessily Kincaid (Earth-616),Secret Identity,Red Hair
291,Kyle Gibney (Earth-616),Secret Identity,Blond Hair
292,Jack Monroe (Earth-616),Public Identity,Brown Hair
293,Madeline Joyce (Earth-616),Secret Identity,Brown Hair
294,George Tarleton (Earth-616),Public Identity,Brown Hair
295,Jocasta (Earth-616),No Dual Identity,No Hair
296,Peter Wisdom (Earth-616),No Dual Identity,Black Hair
297,Jeffrey Mace (Earth-616),Secret Identity,Black Hair
298,Aquaria Neptunia (Earth-616),Secret Identity,Blond Hair
299,Dragon Man (Earth-616),No Dual Identity,No Hair
300,Narya (Earth-616),Secret Identity,Blond Hair
301,Burglar (Earth-616),Public Identity,Blond Hair
302,Dino Manelli (Earth-616),Public Identity,Black Hair
303,Peter Parker (Kaine) (Earth-616),Secret Identity,Brown Hair
304,Nightmare (Earth-616),Secret Identity,Black Hair
305,Ronan (Earth-616),No Dual Identity,Brown Hair
306,Thomas Halloway (Earth-616),Public Identity,White Hair
307,Jasper Sitwell (Earth-616),Public Identity,Blond Hair
308,Frank Payne (Earth-616),Secret Identity,Bald
309,Paladin (Earth-616),Secret Identity,Brown Hair
310,Steel (Earth-616),Public Identity,White Hair
311,Mad Thinker (Earth-616),Secret Identity,Brown Hair
312,Brian Calusky (Earth-616),Public Identity,Blond Hair
313,Arthur Maddicks (Earth-616),No Dual Identity,No Hair
314,Hedy Wolfe (Earth-616),No Dual Identity,Black Hair
315,Isadore Cohen (Earth-616),Public Identity,
316,Dormammu (Earth-616),No Dual Identity,No Hair
317,Makkari (Earth-616),Secret Identity,Strawberry Blond Hair
318,Marlo Chandler (Earth-616),Public Identity,Red Hair
319,Percival Pinkerton (Earth-616),Public Identity,Grey Hair
320,Quintavius Quire (Earth-616),Public Identity,Brown Hair
321,Marla Madison (Earth-616),No Dual Identity,Brown Hair
322,Cletus Kasady (Earth-616),Public Identity,No Hair
323,Supreme Intelligence (Earth-616),No Dual Identity,Green Hair
324,Aragorn (Earth-616),No Dual Identity,White Hair
325,Betty Dean (Earth-616),No Dual Identity,White Hair
326,Karnilla (Earth-616),Secret Identity,Black Hair
327,Jacqueline Falsworth (Earth-616),Public Identity,Blond Hair
328,Caliban (Earth-616),Secret Identity,No Hair
329,Isaac Christians (Earth-616),Public Identity,Black Hair
330,Brock Rumlow (Earth-616),Secret Identity,Black Hair
331,Paul Norbert Ebersol (Earth-616),Secret Identity,Black Hair
332,Annihilus (Earth-616),No Dual Identity,No Hair
333,Red Sonja (Earth-616),Public Identity,Red Hair
334,Jonathan Hart (Earth-616),Public Identity,Brown Hair
335,Bambina Arbogast (Earth-616),No Dual Identity,Black Hair
336,Sooraya Qadir (Earth-616),Secret Identity,Brown Hair
337,Zeus Panhellenios (Earth-616),No Dual Identity,Red Hair
338,Randolph Robertson (Earth-616),No Dual Identity,Black Hair
339,Yao (Earth-616),Secret Identity,Bald
340,Agatha Harkness (Earth-616),No Dual Identity,White Hair
341,Jack Tarr (Earth-616),Secret Identity,Black Hair
342,Katherine Bishop (Earth-616),Public Identity,Black Hair
343,Jason Wyngarde (Earth-616),Secret Identity,Grey Hair
344,Walter Newell (Earth-616),Public Identity,Brown Hair
345,Joanna Cargill (Earth-616),Secret Identity,Black Hair
346,Parker Robbins (Earth-616),Secret Identity,Brown Hair
347,Rocket Raccoon (Earth-616),No Dual Identity,Black Hair
348,Lyja (Earth-616),Secret Identity,Green Hair
349,Georges Batroc (Earth-616),No Dual Identity,Black Hair
350,Wyatt Wingfoot (Earth-616),Public Identity,Black Hair
351,Henry Camp (Earth-616),Public Identity,Black Hair
352,Peter Quill (Earth-616),Secret Identity,Blond Hair
353,Marrow (Sarah) (Earth-616),Secret Identity,Red Hair
354,Vision (Jonas) (Earth-616),Public Identity,No Hair
355,William Kaplan (Earth-616),Secret Identity,Black Hair
356,George Stacy (Earth-616),Public Identity,White Hair
357,Mari (Earth-616),Public Identity,Blond Hair
358,Todd Arliss (Earth-616),Secret Identity,No Hair
359,Hammerhead (Joseph) (Earth-616),Secret Identity,Black Hair
360,Heinrich Zemo (Earth-616),Public Identity,Grey Hair
361,Emil Blonsky (Earth-616),Secret Identity,Blond Hair
362,Arcturus Rann (Earth-616),Public Identity,Brown Hair
363,James Woo (Earth-616),Public Identity,Black Hair
364,Frank Drake (Earth-616),No Dual Identity,Blond Hair
365,Callisto (Earth-616),Secret Identity,Black Hair
366,Dorma (Earth-616),No Dual Identity,Auburn Hair
367,Lonnie Lincoln (Earth-616),Public Identity,White Hair
368,Doop (Earth-616),No Dual Identity,Black Hair
369,David Alleyne (Earth-616),Secret Identity,Black Hair
370,Hepzibah (Earth-616),Secret Identity,White Hair
371,Charlie Cluster-7 (Earth-616),Secret Identity,Black Hair
372,Samuel Sawyer (Earth-616),Public Identity,Grey Hair
373,Jacques Duquesne (Earth-616),Known to Authorities Identity,Black Hair
374,Arcade (Earth-616),Secret Identity,Red Hair
375,Mary Walker (Earth-616),Secret Identity,Brown Hair
376,Miguel Santos (Earth-616),Secret Identity,Black Hair
377,Christopher Summers (Earth-616),Public Identity,Brown Hair
378,Morris Bench (Earth-616),Public Identity,Brown Hair
379,David Cannon (Earth-616),Public Identity,Brown Hair
380,Prosh (Earth-616),Secret Identity,No Hair
381,Roderick Kingsley (Earth-616),Public Identity,Grey Hair
382,Dominikos Petrakis (Earth-616),Secret Identity,Brown Hair
383,St. John Allerdyce (Earth-616),Secret Identity,Blond Hair
384,Mary MacPherran (Earth-616),Secret Identity,Strawberry Blond Hair
385,Rita Wayword (Earth-616),Secret Identity,Silver Hair
386,Angelo Espinosa (Earth-616),Secret Identity,Black Hair
387,Layla Miller (Earth-616),No Dual Identity,Blond Hair
388,Leland Owlsley (Earth-616),Public Identity,Brown Hair
389,Karl Lykos (Earth-616),Secret Identity,Brown Hair
390,Jason Macendale Jr. (Earth-616),Secret Identity,Black Hair
391,Clay Harder (Earth-616),Public Identity,Blond Hair
392,Frigga (Earth-616),Secret Identity,White Hair
393,Ikaris (Eternal) (Earth-616),Secret Identity,Blond Hair
394,Jack Power (Earth-616),Secret Identity,Brown Hair
395,Katherine Power (Earth-616),Secret Identity,Strawberry Blond Hair
396,Sharon Ventura (Earth-616),Secret Identity,Red Hair
397,Nico Minoru (Earth-616),Secret Identity,Black Hair
398,Clive Reston (Earth-616),Public Identity,Grey Hair
399,Idie Okonkwo (Earth-616),Public Identity,Black Hair
400,Robert Frank (Earth-616),Secret Identity,Grey Hair
401,Elizabeth Twoyoungmen (Earth-616),Secret Identity,Black Hair
402,Everett Thomas (Earth-616),Secret Identity,Bald
403,Danger (Earth-616),No Dual Identity,No Hair
404,Dorrek VIII (Earth-616),Public Identity,Blond Hair
405,Amadeus Cho (Earth-616),No Dual Identity,Black Hair
406,Phillip Masters (Earth-616),Public Identity,Bald
407,Joshua Foley (Earth-616),Secret Identity,Blond Hair
408,Karl Mordo (Earth-616),Secret Identity,Black Hair
409,Eternity (Earth-616),Secret Identity,No Hair
410,William Foster (Earth-616),Secret Identity,Black Hair
411,Leiko Wu (Earth-616),Secret Identity,Black Hair
412,Chase Stein (Earth-616),No Dual Identity,Blond Hair
413,Howard Hanover (Earth-616),Public Identity,Black Hair
414,Louise Grant (Earth-616),Secret Identity,Blond Hair
415,Grand Vizier (Asgard) (Earth-616),Secret Identity,White Hair
416,Pyreus Kril (Earth-616),Secret Identity,Yellow Hair
417,Acroyear (Earth-616),No Dual Identity,No Hair
418,Yuriko Oyama (Earth-616),Secret Identity,Black Hair
419,Elijah Bradley (Earth-616),Secret Identity,Bald
420,Frankie Raye (Earth-616),Secret Identity,Red Hair
421,Jimaine Szardos (Earth-616),Secret Identity,Blond Hair
422,Bethany Cabe (Earth-616),No Dual Identity,Red Hair
423,Phillip Urich (Earth-616),Secret Identity,Brown Hair
424,Delroy Garrett Jr. (Earth-616),Secret Identity,Black Hair
425,Anya Corazon (Earth-616),Public Identity,Brown Hair
426,Victoria Hand (Earth-616),No Dual Identity,Black Hair
427,Margaret Carter (Earth-616),Public Identity,White Hair
428,Clay Quartermain (Earth-616),No Dual Identity,Blond Hair
429,Ghost (Earth-616),Secret Identity,Brown Hair
430,Jill Stacy (Earth-616),Public Identity,Black Hair
431,Abigail Brand (Earth-616),Secret Identity,Green Hair
432,Carlie Cooper (Earth-616),No Dual Identity,Brown Hair
433,Paul Duval (Earth-616),Secret Identity,Brown Hair
434,Blastaar (Earth-616),Secret Identity,Grey Hair
435,Jericho Drumm (Earth-616),Public Identity,Brown Hair
436,Ruth Aldine (Earth-616),Secret Identity,Black Hair
437,Azura (Earth-616),Secret Identity,Blond Hair
438,Cyclone (Horse) (Earth-616),Public Identity,
439,Matthew Masters (Earth-616),Secret Identity,Black Hair
440,Luna Maximoff (Earth-616),No Dual Identity,Blond Hair
441,Silhouette Chord (Earth-616),Secret Identity,Black Hair
442,Attuma (Earth-616),No Dual Identity,Black Hair
443,Sally Blevins (Earth-616),Secret Identity,Blond Hair
444,James Sanders (Earth-616),Secret Identity,Blond Hair
445,Denis Nayland Smith (Earth-616),Secret Identity,Bald
446,Andreas von Strucker (Earth-616),Secret Identity,Blond Hair
447,Patricia Tilby (Earth-616),Public Identity,Black Hair
448,Michael Collins (Earth-616),Secret Identity,Brown Hair
449,Groot (Earth-616),No Dual Identity,No Hair
450,Vashti Cleito-Son (Earth-616),Secret Identity,White Hair
451,Eric Williams (Earth-616),Public Identity,Grey Hair
452,Gaea (Earth-616),Secret Identity,
453,Raza Longknife (Earth-616),Secret Identity,Orange Hair
454,Rom (Earth-616),Public Identity,Black Hair
455,Selene Gallio (Earth-616),Secret Identity,Black Hair
456,Norman Harold Osborn (Earth-616),No Dual Identity,Brown Hair
457,Michiko Musashi (Earth-616),Secret Identity,Black Hair
458,Skaar (Earth-616),No Dual Identity,Black Hair
459,Ulik (Earth-616),Public Identity,Brown Hair
460,Roxanne Simpson (Earth-616),Secret Identity,
461,Sinthea Shmidt (Earth-616),Public Identity,No Hair
462,George Washington Bridge (Earth-616),Secret Identity,White Hair
463,Molly Hayes (Earth-616),Secret Identity,Brown Hair
464,Klaus Voorhees (Earth-616),Public Identity,Bald
465,Vanisher (Earth-616),Secret Identity,Bald
466,Skurge (Earth-616),Secret Identity,Black Hair
467,Arthur Parks (Earth-616),,Variable Hair
468,Bernadette Rosenthal (Earth-616),No Dual Identity,Auburn Hair
469,Nathan Lubensky (Earth-616),Public Identity,White Hair
470,David Haller (Earth-616),Secret Identity,Black Hair
471,Lemar Hoskins (Earth-616),Secret Identity,Black Hair
472,Donald Pierce (Earth-616),Secret Identity,Blond Hair
473,Joseph Chapman (Earth-616),Secret Identity,Brown Hair
